Record Number;Title;Priority Country Code;Current Assignee;Assignee;Assignee Original;Current Owner;Publication/Issue Date;Filing/Application Date;CPC;IPC All Versions (IC);Simple Family Members;SFAM All countries;Publication Country;360° Quality;Priority Date;Priority Year;Attorney;Attorney Address;Assignee Country;Inventor Country;No. of Assignees;No. of Inventors;Legal Status (Dead/Alive);Legal Quality;Is Litigated;Is Opposed;Litigation Details;Citation Quality;Intrensic Quality;Market Quality;Record Type;Simple Family ID
IND287440S;ASSAY ANALYSER;None;ALERE TECHNOLOGY AS  ( NO );ALERE TECHNOLOGY AS (NO);ALERE TECHNOLOGIES AS (NO);ABBOTT LAB INC;4-Oct-2016;4-Oct-2016;None;None;IND287440S;IN;IN;06.mar;15.apr.16;2016;None;None;NO;None;1;0;ALIVE;20.62;No;No;None;0;11.sep;03.mar;Design Application;7,28E+13
IB084740S;Protective glove;None;GRANBERG AS  ( NO );GRANBERG AS (NO);GRANBERG AS (NO);GRANBERG AS;07.nov.14;24-Oct-2014;None;None;IB084740S;IB;IB;jul.89;24-Oct-2014;2014;None;None;NO;LT-1;1;1;ALIVE;33.5;No;No;None;0;nov.94;0;Design Patent;5,10E+13
IB082041S;Hanger for animal blankets;None;MORTEN HOLM  ( NO );MORTEN HOLM (NO);MORTEN HOLM (NO);MORTEN HOLM;28.feb.14;28.aug.13;None;None;IB082041S;IB;IB;jul.91;28.aug.13;2013;ACAPO AS (NO);PO BOX 1880 NORDNES N 5817 BERGEN (NO);NO;None;1;1;ALIVE;33.5;No;No;None;0;des.14;0;Design Patent;5,10E+13
IB080140S;Glass jar with cork (spice jar);NO;MARKEVEIEN 12 AS  ( NO );MARKEVEIEN 12 AS (NO);MARKEVEIEN 12 AS (NO);MARKEVEIEN 12 AS;26.jul.13;24.jan.13;None;None;IB080140S;IB;IB;jul.91;21-Dec-2012;2012;NORSK PATENTBYRA AS (NO);PO BOX 1204 VIKA N 0110 OSLO (NO);NO;None;1;0;ALIVE;33.5;No;No;None;0;des.14;0;Design Patent;5,10E+13
IB077441S;Working gloves;None;GRANBERG AS  ( NO );GRANBERG AS (NO);GRANBERG AS (NO);GRANBERG AS;None;21-Dec-2011;None;None;IB077441S;IB;IB;jul.89;21-Dec-2011;2011;None;None;NO;None;1;1;ALIVE;33.5;No;No;None;0;11.sep;0;Design Patent;5,10E+13
TWD157740S;CHAIR;NO;STOKKE AS  ( NO );STOKKE AS (NO);STOKKE AS (NO);STOKKE AS;11-Dec-2013;21.sep.12;None;None;TWD157740S;TW;TW;0;22.mar.12;2012;None;None;NO;None;1;3;ALIVE;0;No;No;None;0;0;0;Design Patent;91467041
CN117881278A;Method and system for providing site-specific fertilizer recommendations;EP;YARA INTERNATIONAL ASA  ( LYSAKER ,  NO );YARA INTERNATIONAL ASA (LYSAKER, NO);YARA INTERNATIONAL ASA (LYSAKER, NO);YARA INTERNATIONAL ASA;12.apr.24;31.aug.22;None;A01C21/00;CN117881278A;CN;CN;mai.25;"01-Sep-2021
31-Aug-2022";2021;GAO YAN;BEIJING JIJIA INTELLECTUAL PROPERTY AGENCY CO LTD;NO;None;1;1;ALIVE;sep.38;No;No;None;0;09.jan;aug.25;Application;90585117
GB2630097A;Node voltage control;GB;NORDIC SEMICONDUCTOR ASA  ( NO );NORDIC SEMICONDUCTOR ASA (NO);NORDIC SEMICONDUCTOR ASA (NO);NORDIC SEMICONDUCTOR ASA;20.nov.24;17-May-2023;"G06F1/3206; G06F1/3203; H03K19/0016";"H03K19/00; G06F1/3203; G06F1/3206";"US2024388278A1
 GB2630097A / GB202307347D0";GB;GB;0;17-May-2023;2023;None;None;NO;FI-3;1;3;ALIVE;0;No;No;None;0;0;0;Application;86872440
US11927567B2;Cylinder boss cracking detection system;US;HEXAGON TECHNOLOGY AS;HEXAGON TECHNOLOGY AS (NO);HEXAGON TECHNOLOGY AS (NO);HEXAGON AB;12.mar.24;01.nov.21;"G01N29/14; G01N29/2437; G01N2291/011; G01N2291/028; G01N29/043; G01N29/46; G01N29/223; G01N29/07; G01N29/42; G01N2291/0289; G01N2291/0231";"G01N29/14; G01N29/24";US11927567B2 / US2023134300A1;US;US;mai.96;01.nov.21;2021;SNELL & WILMER LLP;None;NO;US-3;1;3;ALIVE;07.des;No;No;None;0;20.63;aug.25;Patent;86146441
CA193900S;PACKAGING CONTAINER;CA;ELOPAK AS  ( SPIKKESTAD ,  NO );ELOPAK AS (SPIKKESTAD, NO);ELOPAK AS (SPIKKESTAD, NO);ELOPAK AS;16.jan.23;26.aug.19;None;None;CA193900S;CA;CA;apr.95;26.aug.19;2019;None;None;NO;None;1;0;ALIVE;15.mai;No;No;None;0;13.54;jan.65;Design Patent;84926341
CA193907S;PACKAGING CONTAINER;CA;ELOPAK AS  ( SPIKKESTAD ,  NO );ELOPAK AS (SPIKKESTAD, NO);ELOPAK AS (SPIKKESTAD, NO);ELOPAK AS;16.jan.23;26.aug.19;None;None;CA193907S;CA;CA;apr.95;26.aug.19;2019;None;None;NO;None;1;0;ALIVE;15.mai;No;No;None;0;13.54;jan.65;Design Patent;84926340
DE202020101258U1;Cable arrangement;DE;TE CONNECTIVITY NORGE AS  ( NO ),TE CONNECTIVITY SENSORS FRANCE;"MEAS FRANCE SAS (FR); TE CONNECTIVITY NORGE AS (NO)";"MEAS FRANCE SAS (FR); TE CONNECTIVITY NORGE AS (NO)";TE CONNECTIVITY LTD, TE CONNECTIVITY SENSORS FRANCE;21.jun.21;06.mar.20;"H01R13/5205; H01R13/5845; H01R24/28; H01R31/06";"H01R13/52; H01R13/56; H01R13/58; H02G3/22; H02G15/013";DE202020101258U1;DE;DE;jun.28;06.mar.20;2020;GRUNECKER PATENT UND RECHTSANWALTE PARTG MBB (MÜNCHEN, DE);None;FR, NO;None;2;0;ALIVE;12.mai;No;No;None;0;21.26;05.mai;Granted Utility Model;76754140
US20200273719A1;Integrated Circuits for Flexible Electronics Applications and High-Speed, Stamping-Based Methods of Attaching the Same to an Antenna or Other Substrate;US;ENSURGE MICROPOWER ASA;THIN FILM ELECTRONIC ASA (NO);"CHANDRA ADITI (US); DESHPANDE ANAND (US); KAMATH ARVIND (US); THIN FILM ELECTRONICS ASA (NO); TRIFUNOVIC MIKI (US)";ENSURGE MICROPOWER ASA;27.aug.20;26.feb.20;"H01L2224/131; H01L2224/86203; H01L2224/86005; H01L2224/84203; H01L2224/84005; H01L2224/80203; H01L2224/80006; H01L2224/2929; H01L2224/16245; H01L2224/08245; H01L2221/68363; H01L24/97; H01L24/86; H01L24/84; H01L24/80; H01L24/50; H01L21/6836; H01L2224/293; H01L2221/68381; H01L2221/6834; H01L2221/68327; H01L24/08; H01L2224/97; H01L24/40; H01L24/29; H01L2224/32245; H01L24/13; H01L24/32; H01L24/16; H01L2223/6677; H01L23/66; H01L23/49572; H01L21/4842; H01L21/78; H01L21/4825; H01Q1/38; H01L2924/00012; H01L2924/00014; H01L2224/81; H01L2224/80; H01L2224/83; H01L2224/86; H01L2224/84; H01L2924/014";"H01L21/48; H01L21/78; H01L23/495; H01L23/66; H01Q1/38";US2020273719A1;US;US;02.jan;"27-Feb-2019
26-Feb-2020";2019;None;None;US, NO;US-4;1;4;DEAD;0;No;No;None;0;20.13;0;Application;72141241
US11209543B2;Sonar transducer having electromagnetic shielding;US;NAVICO INC;NAVICO HOLDING AS (NO);NAVICO HOLDING AS (NO);NAVICO INC;28-Dec-2021;30-Oct-2018;"G01S15/89; G10K2200/10; G10K11/346; H05K9/0084; G10K2200/11; B63H20/32; G01S15/96; G10K11/008; B63H20/007; G01S15/8902";"G01S15/89; B63H20/00; B63H20/32; G01S15/96; G10K11/00; G10K11/34; H05K9/00";US11209543B2 / US2019064348A1;US;US;22.31;"15-Jan-2015
20-Jul-2016
30-Oct-2018";2015;NELSON MULLINS RILEY & SCARBOROUGH LLP;None;NO;US-3;1;3;ALIVE;30.mai;No;No;None;25.feb;36.53;aug.25;Patent;65434259
US20180003834A1;PRESSURE COMPENSATION FOR A MARINE VIBRATOR;US;PGS GEOPHYSICAL AS;PGS GEOPHYSICAL AS (NO);PGS GEOPHYSICAL AS (NO);PETROLEUM GEO SERVICE ASA;04.jan.18;19.apr.17;"G01V1/137; G01V13/00; G01V1/3843; G01V1/145; G01V1/38";"G01V1/137; G01V1/38; G01V13/00";US2018003834A1;US;US;feb.49;"29-Jun-2016
19-Apr-2017";2016;None;None;NO;US-1;1;1;DEAD;0;No;No;None;01.mai;18.86;0;Application;60807440
CA173592S;OIL HEATER;CA;MILL INTERNATIONAL AS  ( 1361 ØSTERÅS ,  NO );MILL INTERNATIONAL AS (1361 ØSTERÅS, NO);MILL INTERNATIONAL AS (1361 ØSTERÅS, NO);MILL INTERNATIONAL AS;21-Dec-2017;14.mar.17;None;None;CA173592S;CA;CA;jun.62;14.mar.17;2017;MBM INTELLECTUAL PROPERTY LAW LLP (OTTAWA, CA);275 SLATER STREET, 14TH FLOOR;NO;None;1;0;ALIVE;24.mai;No;No;None;0;des.26;jan.65;Design Patent;60788140
CA166047S;DISPLAY SCREEN WITH GRAPHICAL USER INTERFACE;NO;ABB SCHWEIZ AG  ( BADEN ,  CH );ABB SCHWEIZ AG (BADEN, CH);ABB SCHWEIZ AG (BADEN, CH);ABB LTD;01.aug.17;17-Dec-2015;None;None;CA166047S;CA;CA;jul.86;29.jun.15;2015;MARKS & CLERK (OTTAWA, CA);180 KENT STREET, SUITE 1900;NO, CH;None;1;0;ALIVE;30.mai;No;No;None;0;12.jul;jan.65;Design Patent;59505940
CA168516S;DISPLAY SCREEN WITH GRAPHICAL USER INTERFACE;EM;ABB SCHWEIZ AG  ( BADEN ,  CH );ABB SCHWEIZ AG (BADEN, CH);ABB SCHWEIZ AG (BADEN, CH);ABB LTD;08.feb.17;19-May-2016;None;None;CA168516S;CA;CA;jul.22;07-Dec-2015;2015;MARKS & CLERK (OTTAWA, CA);180 KENT STREET, SUITE 1900;NO, CH;None;1;0;ALIVE;27.mai;No;No;None;0;des.26;jan.65;Design Patent;58010440
US10597130B2;Trolling motor with a transducer array;US;NAVICO INC;NAVICO HOLDING AS (NO);NAVICO HOLDING AS (NO);NAVICO INC;24.mar.20;20.jul.16;"G01S15/8902; G10K11/346; G10K11/008; G01S15/96; G10K2200/11; G01S7/56; B63H20/32; B63H20/007; G10K2200/10; G01S15/89";"B63H20/00; B63H20/32; G01S7/56; G01S15/89; G01S15/96; G10K11/00; G10K11/34";US10597130B2 / US2016325814A1;US;US;31.63;"15-Jan-2015
20-Jul-2016";2015;NELSON MULLINS RILEY & SCARBOROUGH LLP;None;NO;US-2;1;2;ALIVE;30.mai;No;No;None;48.99;34.61;aug.25;Patent;57222316
US20160207602A1;Nosecone Transducer Array;US;NAVICO HOLDING AS  ( NO );NAVICO HOLDING AS (NO);NAVICO HOLDING AS (NO);NAVICO HOLDING AS;21.jul.16;15.jan.15;"B63H20/007; G01S15/89; G10K11/18";"B63H20/00; G01S15/89; G10K11/18";US2016207602A1;US;US;okt.25;15.jan.15;2015;None;None;NO;US-1;1;1;DEAD;0;No;No;None;20.92;18.79;0;Application;56407240
USD752296S;Pair of decorative gloves;US;GRANBERG AS  ( NO );"GRANBERG (NO); GRANBERG AS (NO)";"GRANBERG (NO); GRANBERG AS (NO)";GRANBERG AS;22.mar.16;04.apr.14;"A41D13/08; A41D13/081; A41D13/082; A41D13/084; A41D13/087; A41D19/00; A41D19/0044; A41D19/0096; A41D19/015; A41D19/01505; A41D19/01517; A41D19/01523; A41D19/01547; A41D19/01564; A41D19/01588";None;USD752296S;US;US;15.23;04.apr.14;2014;GREENBERG TRAURIG LLP;None;NO;LT-1;2;1;ALIVE;33.5;No;No;None;okt.18;19.84;aug.25;Design Patent;55487940
CA157671S;WALL PANEL FOR A FISH CAGE;CA;AQUAFARM EQUIPMENT AS  ( HAUGESUND ,  NO );AQUAFARM EQUIPMENT AS (HAUGESUND, NO);AQUAFARM EQUIPMENT AS (HAUGESUND, NO);AQUAFARM EQUIPMENT AS;17.apr.15;14.jul.14;None;None;CA157671S;CA;CA;jul.22;14.jul.14;2014;MOFFAT & CO. (OTTAWA, CA);11 HOLLAND AVENUE, SUITE 715, P.O. BOX 2088, STATION D, 427 LAURIER AVENUE WEST, SUITE 1200, P.O. BOX 2088, STATION D;NO;None;1;0;ALIVE;27.mai;No;No;None;0;des.26;jan.65;Design Patent;52997641
CA157670S;BOTTOM CENTRAL ELEMENT FOR A FISH CAGE;CA;AQUAFARM EQUIPMENT AS  ( HAUGESUND ,  NO );AQUAFARM EQUIPMENT AS (HAUGESUND, NO);AQUAFARM EQUIPMENT AS (HAUGESUND, NO);AQUAFARM EQUIPMENT AS;17.apr.15;14.jul.14;None;None;CA157670S;CA;CA;aug.42;14.jul.14;2014;MOFFAT & CO. (OTTAWA, CA);11 HOLLAND AVENUE, SUITE 715, P.O. BOX 2088, STATION D, 427 LAURIER AVENUE WEST, SUITE 1200, P.O. BOX 2088, STATION D;NO;None;1;0;ALIVE;33.5;No;No;None;0;des.26;jan.65;Design Patent;52997640
USD703783S;Acoustic measuring instrument;EM;STEINERT SENSING SYSTEM AS  ( NO );STEINERT SENSING SYSTEM AS (NO);STEINERT SENSING SYSTEMS AS (NO);STEINERT SENSING SYSTEM AS;29.apr.14;09.nov.12;None;None;USD703783S;US;US;nov.26;21.sep.12;2012;KNOBBE MARTENS OLSON & BEAR;None;NO;SE-2;1;2;ALIVE;33.5;No;No;None;0.75;17.87;aug.25;Design Patent;50514741
US9321630B2;Sensor with vacuum-sealed cavity;US;AGENCY FOR SCIENCE TECHNOLOGY & RESEARCH ,PGS GEOPHYSICAL AS  ( NO );"AGENCY OF SCIENCE TECHNOLOGY & RESEARCH CO (SG); PGS GEOPHYSICAL AS (NO); PGS GEOPHYSICAL AS (SG)";"AGENCY SCIENCE TECH & RES (SG); PGS GEOPHYSICAL AS (NO); PGS GEOPHYSICAL AS (SG)";AGENCY FOR SCIENCE TECHNOLOGY & RESEARCH, PETROLEUM GEO SERVICE ASA;26.apr.16;20.feb.13;"G01H11/08; G01L11/00; B81C1/00182; B81B2201/0257; H04R17/005; G01V1/186; H10N30/00; H10N30/80; G01V1/38";"B81C1/00; G01H11/08; G01V1/18; H10N30/00; H10N30/80";"US9321630B2 / US2014230557A1
 CA2842769A1 / CA2842769C
 FR3002405A1 / FR3002405B1
 FR3066833A1
 GB2512724A / GB2512724B / GB201402846D0
 GB2576116A / GB2576116B / GB201912680D0
 SG10201400111A";GB, FR, CA, SG, US;US;35.66;20.feb.13;2013;"MEYERTONS HOOD KIVLIN KOWERT & GOETZEL PC; MEYERTONS HOOD KIVLIN KOWERT GOETZEL PC";None;NO, SG;SG-4;3;4;ALIVE;47.5;No;No;None;27.48;55.56;32.05;Patent;50440341
CN103514559A;On-line shopping price comparison method and device based on mobile terminal browser;CN;OPERA NORWAY AS;OPERA SOFTWARE ASA (NO);OPERA SOFTWARE ASA. (NO);OPERA NORWAY AS;15.jan.14;26.sep.13;None;G06Q30/02;CN103514559A;CN;CN;12.jun;26.sep.13;2013;REN MOWEN;BEIJING SANYOU INTELLECTUAL PROPERTY AGENCY CO LTD;NO;None;1;6;DEAD;0;No;No;None;24.72;27.des;0;Application;49897241
CA146148S;PERINEAL PROTECTIVE DEVICE;CA;KARO PHARMA AB  ( 111 22 STOCKHOLM ,  SE );KARO PHARMA AB (111 22 STOCKHOLM, SE);KARO PHARMA AB (111 22 STOCKHOLM, SE);KARO PHARMA AB;28-Oct-2013;21.jun.12;None;None;CA146148S;CA;CA;aug.45;21.jun.12;2012;LAVERY, DE BILLY, LLP (MONTREAL, CA);1 PLACE VILLE MARIE, SUITE 4000;NO, SE;None;1;0;DEAD;33.5;No;No;None;0;des.54;jan.65;Design Patent;49485940
CA122691S;WIND TURBINE;NO;SWAY AS  ( NO );SWAY AS (NO);SWAY AS (NO);SWAY AS;19.mar.09;12-Oct-2007;None;None;"AU317861S
 AU317862S
 AU317863S
 AU317864S
 AU317865S
 AU317890S
 AU317891S
 CA122691S";CA, AU;CA;nov.45;12.apr.07;2007;None;None;NO;None;1;0;DEAD;33.5;No;No;None;0;des.58;nov.65;Design Patent;49181040
DE202011051406U1;Protective cover for nameplates of agricultural vehicles;DE;KVERNELAND AS  ( NO );KVERNELAND AS (NO);KVERNELAND ASA (NO);KUBOTA CORP;08.jan.13;22.sep.11;B60R13/10;"B60J11/06; B60R13/10";DE202011051406U1;DE;DE;jan.27;22.sep.11;2011;BECKER UND KOLLEGEN (RATINGEN, DE);None;NO;None;1;0;DEAD;0;No;No;None;0;des.65;0;Granted Utility Model;47665541
US8928324B2;In-line and broadside marine electromagnetic surveying;US;PGS GEOPHYSICAL AS  ( NO );PGS GEOPHYSICAL AS (NO);"HOBBS BRUCE ALAN (GB); PGS GEOPHYSICAL AS (NO)";PETROLEUM GEO SERVICE ASA;06.jan.15;27-Dec-2011;"G01V3/17; G01V3/12; G01V3/083; Y02A90/30";G01V3/08;"US8928324B2 / US2013162256A1
 AU2012261761A1 / AU2012261761B2
 GB2498078A / GB2498078B / GB201222817D0
 GB2520643A / GB2520643B / GB201500412D0
 BR102012033262A2 / BR102012033262A8 / BR102012033262B1
 NO345249B1 / NO20121531A1";GB, NO, BR, AU, US;US;26.51;27-Dec-2011;2011;None;None;GB, NO;GB-1;1;1;ALIVE;47.5;No;No;None;14.28;21.79;30.apr;Patent;47630940
US20170024490A1;Alignment of Metadata;US;CXENSE ASA  ( NO );CXENSE ASA (NO);CXENSE ASA (NO);CXENSE ASA;26.jan.17;3-Oct-2016;"G06F16/907; G06F40/45; G06F40/166; G06F40/106; G06F17/24; G06F17/30997; G06F17/212";"G06F17/21; G06F17/30; G06F17/24";"US2012303643A1
 US2017024490A1";US;US;13.85;"26-May-2011
03-Oct-2016";2011;None;None;NO;US-1;1;1;DEAD;0;No;No;None;28.18;21.31;01.mai;Application;47219940
US8797038B2;High voltage DC power for electromagnetic survey source;US;OCEAN FLOOR GEOPHYSICS INC;PGS GEOPHYSICAL AS (NO);"BHADANI PRAWIN (GB); PEPPE OLIVER (GB); PGS GEOPHYSICAL AS (NO)";OCEAN FLOOR GEOPHYSICS INC;05.aug.14;01.mar.11;"G01V3/17; G01V3/083";G01V3/04;"US8797038B2 / US2012223718A1
 FR2972269A1 / FR2972269B1
 GB2488658A / GB2488658B / GB201203553D0
 NO344512B1 / NO20120176A1";US, GB, FR, NO;US;29.mai;01.mar.11;2011;None;None;GB, NO;GB-2;1;2;ALIVE;44;No;No;None;26.78;25.22;23.apr;Patent;45991941
US10001575B2;Seismic data acquisition system with selectively enabled sensor units, and associated methods;US;PGS GEOPHYSICAL AS  ( NO ),BOERRESEN CLAES NICOLAI  ( US );"BOERRESEN CLAES NICOLAI (US); PGS GEOPHYSICAL AS (NO)";"BOERRESEN CLAES NICOLAI (US); PGS GEOPHYSICAL AS (NO); TENGHAMN STIG RUNE LENNART (US)";PETROLEUM GEO SERVICE ASA, BOERRESEN CLAES NICOLAI;19.jun.18;29.jun.10;G01V1/3808;G01V1/38;"US10001575B2 / US2011317517A1
 US2018299574A1
 FR2961912A1 / FR2961912B1";US, FR;US;20.86;29.jun.10;2010;"PATTERSON & SHERIDAN LLP; PATTERSON SHERIDAN LLP";None;US, NO;US-2;2;2;DEAD;37;No;No;None;13.35;30.jun;17.mai;Patent;45220040
DE202011001967U1;Agricultural machine;DE;KVERNELAND AS  ( NO );KVERNELAND AS (NO);KVERNELAND ASA (NO);KUBOTA CORP;24.mar.11;26.jan.11;"A01D89/005; A01D90/14";"A01D90/14; A01D41/12; A01F15/08";DE202011001967U1;DE;DE;aug.22;26.jan.11;2011;GRUNECKER KINKELDEY STOCKMAIR & SCHWANHAUSSER (MÜNCHEN);None;NO;None;1;0;DEAD;0;No;No;None;17.42;des.53;0;Granted Utility Model;43797341
US8089825B2;Method of summing dual-sensor towed streamer signals using cross-ghosting analysis;US;PGS GEOPHYSICAL AS;PGS GEOPHYSICAL AS (NO);"BARR JR FREDERICK JAMES (US); PGS GEOPHYSICAL AS (NO); TENGHAMN STIG RUNE LENNART (US)";PETROLEUM GEO SERVICE ASA;03.jan.12;29.aug.08;"G01V1/3808; G01V1/362; G01V1/364; G01V2210/61";G01V1/38;"US8089825B2 / US2010054081A1
 GB0914770D0 / GB2462914A / GB2462914B
 BRPI0902827A2 / BRPI0902827B1
 NO341563B1 / NO20092783L";NO, BR, GB, US;US;21.mai;29.aug.08;2008;E EUGENE THIGPEN (HOUSTON, US);None;US, NO;US-2;1;2;DEAD;37;No;No;None;14.jun;24.39;17.sep;Patent;41171840
DE102006062328B3;Disk coulter for seed and/or fertilizer, has colliding unit arranged with distance to lower circumference-closed section of supply line section, so that portion of conveyor air flow and transported material are discharged;DE;KVERNELAND GROUP SOEST GMBH;KVERNELAND AS (NO);KVERNELAND ASA (NO);KUBOTA CORP;03.jul.08;22-Dec-2006;"A01C7/206; A01C5/064";"A01C7/20; A01C5/06";DE102006062328B3;DE;DE;11.jun;22-Dec-2006;2006;BECKER UND KOLLEGEN (RATINGEN);None;NO;DE-2;1;2;ALIVE;33.5;No;No;None;04.jul;13.73;05.mai;Patent;39466041
GB2434090B;Belt guide;GB;HTS HANS TORGERSEN & SONN AS  ( NO );HTS HANS TORGERSEN & SONN AS (NO);HTS HANS TORGERSEN & SONN AS (NO);HTS HANS TORGERSEN & SONN AS;11.aug.10;21.feb.06;"B60N2/2803; B60N2/2812; B60N2/2851";B60N2/28;"DE602007005703D1
 CN100999207A
 GB0600608D0
 GB0603458D0 / GB2434090A / GB2434090B
 ES2344082T3
 ATE463383T1
 PT1808331E";GB, PT, ES, AT, CN, DE;GB;17.74;12.jan.06;2006;None;None;NO;NL-1;1;1;DEAD;40.5;No;No;None;0.75;17.83;25.feb;Patent;35997940
NO20025235D0;None;NO;RAUFOSS UNITED SA  ( NO );RAUFOSS UNITED SA (NO);RAUFOSS UNITED AS (NO);KONGSBERG AUTOMOTIVE HOLDING ASA;31-Oct-2002;31-Oct-2002;None;"F16L; F16L/";NO20025235D0;NO;NO;jul.35;31-Oct-2002;2002;None;None;NO;None;1;0;DEAD;33.75;No;No;None;0;06.feb;0;Application;19914140
PH22023051153U1;CONFIGURATION SYSTEM FOR GREEN ENERGY AGRICULTURAL PARK;None;SEASON AGRICULTURAL TECHNOLOGY CO LTD;SEASON AGRICULTURAL TECHNOLOGY CO LTD;SEASON AGRICULTURAL TECHNOLOGY CO LTD $;SEASON AGRICULTURAL TECHNOLOGY CO LTD;03.jan.24;11.aug.23;None;"A01G22/00; A01K31/00; A01G18/00; A01B79/02; A01K1/00; A01G9/14; E04H1/12";PH22023051153U1;PH;PH;0;11.aug.23;2023;EN CRUZ MARCELO & TENEFRANCIA (9TH 10TH 11TH & 12TH FLOORS ONE ORION 11TH AVENUE CORNER UNIVERSITY PARKWAY);None;None;NO 161 1 ERJIA GUIREN DIST TAINAN CITY 711011-1;1;1;ALIVE;0;No;No;None;0;0;0;Other;9,58E+13
IDP000048779B;None;US;KEPPEL OFFSHORE & MARINE TECH  ( SG );KEPPEL OFFSHORE & MARINE TECH (SG);KEPPEL OFFSHORE & MARINE TECHNOLOGY CENTRE PTE LTD (SG);KEPPEL OFFSHORE & MARINE TECH;7-Dec-2017;20.sep.11;None;"B63B27/24; B63B27/34; B67D7/04; B67D9/00";"IDP000048779B / ID201201762A
 VN10015880000A1 / VN10015880000B1";VN, ID;ID;11.apr;"22-Sep-2010
11-Mar-2011";2010;None;None;SG;"MY-2; NO-1; SG-3";1;6;ALIVE;37;No;No;None;0;23;mai.65;Patent;9,56E+13
VN50012A1;None;US;EXXONMOBIL UPSTREAM RESEARCH COMPANYCORP URC SW359 PO BOX 2189 HOUSTON TX 77252 2189 UNITED STATES OF AMERICA;EXXONMOBIL UPSTREAM RESEARCH COMPANYCORP URC SW359 PO BOX 2189 HOUSTON TX 77252 2189 UNITED STATES OF AMERICA;EXXONMOBIL UPSTREAM RESEARCH COMPANYCORP URC SW359 PO BOX 2189 HOUSTON TX 77252 2189 UNITED STATES OF AMERICA;EXXONMOBIL UPSTREAM RESEARCH COMPANYCORP URC SW359 PO BOX 2189 HOUSTON TX 77252 2189 UNITED STATES OF AMERICA;26-Dec-2016;21.sep.16;None;B01D17/02;VN50012A1;VN;VN;jul.51;12.mar.14;2014;None;None;None;"US-1; NO-1";1;6;ALIVE;27.mai;No;No;None;0;20.des;0;Patent;9,56E+13
IDP00201904652A;None;US;CABOT CORP  ( US );CABOT CORP (US);CABOT CORPORATION (US);CABOT CORP;26-May-2017;29-May-2019;None;"C09K8/00; C09K8/22";"ID201904652A
 IDP00201904652A";ID;ID;jul.36;"27-Nov-2013
27-Feb-2014";2013;None;None;US;"GB-1; NO-1; US-1; PL-1";1;4;ALIVE;20.62;No;No;None;0;20;04.jan;Application;9,52E+13
IDP000090852B;None;ID;GUANGDONG OPPO MOBILE TELECOM CORP LTD  ( CN );GUANGDONG OPPO MOBILE TELECOM CORP LTD (CN);GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP LTD (CN);BBK ELECTRONIC CORP;29.nov.23;26.mar.20;None;H04W72/12;IDP000090852B;ID;ID;0;26.mar.20;2020;None;None;CN;NO18 HAIBIN ROAD WUSHA CHANG'AN DONGGUAN GUANGDONG 523860 CHINA-1;1;1;ALIVE;0;No;No;None;0;0;0;Patent;9,52E+13
NO20120952S;None;EM;ELBJORN AB  ( SE );ELBJORN AB (SE);EL BJÖRN AB (SE);ELBJORN AB;03.nov.12;None;13.mar;None;"NO20120952A
 NO20120952S";NO;NO;jun.66;03-May-2012;2012;None;None;SE;NO-1;1;1;ALIVE;25.des;No;No;None;0;11.sep;01.mai;Design Patent;9,50E+13
NO333353B1;None;NO;VKR HOLDING AS  ( DK );"VKR HOLDING AS (DK); VKR HOLDING AS (DK)";"VKR HOLDING A/S (DK); VKR HOLDING AS (DK)";VKR HOLDING AS;13-May-2013;19.sep.08;None;"E06B1/52; E06B1/68; E04F13/06; E04F19/02";NO333353B1;NO;NO;0;19.sep.08;2008;BRYN AARFLOT AS (NO);POSTBOKS 449 SENTRUM 0104 OSLO NORGE;DK;NO-1;2;2;ALIVE;0;No;No;None;0;0;0;Patent;9,50E+13
RU2024116753A;USE OF INTERFERON AS AN ADJUVANT IN VACCINES;US;None;?????? ???????? ??? (US);?????? ???????? ??? (US);None;28.aug.24;19-Dec-2022;None;A61K39/12;None;RU;RU;0;19-Dec-2022;2022;None;None;US;None;1;0;ALIVE;0;No;No;None;0;0;0;Application;8,60E+13
RU2024116752A;COMPOSITIONS AND METHODS OF PREVENTION OF FISH MYOCARDITIS;US;None;?????? ???????? ??? (US);?????? ???????? ??? (US);None;19.aug.24;19-Dec-2022;None;C07K14/11;None;RU;RU;0;19-Dec-2022;2022;None;None;US;None;1;0;ALIVE;0;No;No;None;0;0;0;Application;8,60E+13
RU2024115653A;Method for protecting coalescing elements of an electrostatic coalescing device from electrically induced erosion and/or partial discharges;EP;None;??????? ?????????? ?? (CH);??????? ?????????? ?? (CH);None;17.sep.24;8-Dec-2022;None;B01D17/06;None;RU;RU;0;08-Dec-2022;2022;None;None;CH;None;1;0;ALIVE;0;No;No;None;0;0;0;Application;8,60E+13
RU106831S;CAR FLYING;EM;None;????????? ?? ??? ?? ??? (SK);????????? ?? ??? ?? ??? (SK);None;30.jan.18;25.apr.17;None;None;RU106831S;RU;RU;jul.34;25-Oct-2016;2016;None;None;SK;None;1;0;ALIVE;24.mai;No;No;None;0;19.46;jan.65;Design Patent;8,60E+13
